"renda_cat","capital","anos_estudo_cat","genero","anos_estudo","idade","raca_cor"
"Maior que R$3300","S","Mais de 12","M",15,37,"branca"
"Menor que R$3300","N","Até 8","M",0,58,"negra"
"Menor que R$3300","N","Até 8","M",0,58,"negra"
"Menor que R$3300","N","Até 8","M",8,30,"negra"
"Menor que R$3300","N","Até 8","M",2,61,"negra"
"Menor que R$3300","N","Até 8","M",0,54,"negra"
"Menor que R$3300","N","Até 8","M",0,60,"negra"
"Maior que R$3300","N","Até 8","M",7,25,"negra"
"Menor que R$3300","N","9 a 12","F",11,22,"negra"
"Menor que R$3300","N","9 a 12","M",11,33,"negra"
"Menor que R$3300","N","Até 8","F",4,63,"negra"
"Menor que R$3300","N","Até 8","F",6,54,"negra"
"Menor que R$3300","N","Até 8","M",4,45,"branca"
"Menor que R$3300","N","Até 8","F",4,29,"branca"
"Menor que R$3300","N","Até 8","F",4,34,"branca"
"Menor que R$3300","N","Até 8","M",3,43,"branca"
"Menor que R$3300","N","Até 8","M",4,43,"branca"
"Menor que R$3300","N","Mais de 12","F",13,21,"negra"
"Menor que R$3300","N","9 a 12","M",10,25,"negra"
"Menor que R$3300","N","Até 8","M",4,49,"branca"
"Menor que R$3300","N","Até 8","M",3,40,"branca"
"Menor que R$3300","N","Até 8","M",4,48,"branca"
"Menor que R$3300","N","Até 8","M",3,36,"branca"
"Menor que R$3300","N","Até 8","M",8,35,"branca"
"Menor que R$3300","N","9 a 12","M",9,37,"branca"
"Menor que R$3300","N","Até 8","M",8,54,"branca"
"Maior que R$3300","N","Até 8","M",4,40,"branca"
"Menor que R$3300","N","Até 8","M",3,37,"negra"
"Menor que R$3300","N","Até 8","F",4,73,"branca"
"Menor que R$3300","N","Até 8","M",4,72,"negra"
"Menor que R$3300","N","Até 8","F",4,64,"negra"
"Menor que R$3300","N","Mais de 12","M",15,26,"negra"
"Menor que R$3300","N","Mais de 12","F",15,47,"branca"
"Menor que R$3300","N","9 a 12","M",11,19,"negra"
"Maior que R$3300","N","9 a 12","M",11,29,"negra"
"Maior que R$3300","N","Mais de 12","F",15,51,"branca"
"Menor que R$3300","N","Até 8","M",8,29,"negra"
"Menor que R$3300","N","Até 8","F",5,49,"branca"
"Menor que R$3300","N","Até 8","F",7,23,"negra"
"Menor que R$3300","N","Até 8","M",8,41,"negra"
"Menor que R$3300","N","Mais de 12","F",15,35,"negra"
"Menor que R$3300","N","Mais de 12","M",15,31,"negra"
"Menor que R$3300","N","Até 8","M",0,58,"negra"
"Menor que R$3300","N","Mais de 12","F",15,53,"branca"
"Menor que R$3300","N","Até 8","M",8,35,"negra"
"Menor que R$3300","N","Mais de 12","F",15,24,"branca"
"Maior que R$3300","S","Mais de 12","F",15,46,"branca"
"Maior que R$3300","S","Mais de 12","M",15,38,"branca"
"Maior que R$3300","S","Mais de 12","M",13,62,"branca"
"Menor que R$3300","S","Mais de 12","F",15,58,"negra"
"Maior que R$3300","S","Mais de 12","F",15,27,"negra"
"Menor que R$3300","S","Mais de 12","F",13,62,"branca"
"Maior que R$3300","S","Mais de 12","M",15,40,"negra"
"Menor que R$3300","S","9 a 12","M",11,31,"negra"
"Maior que R$3300","S","Mais de 12","M",13,67,"negra"
"Menor que R$3300","S","9 a 12","F",11,43,"negra"
"Maior que R$3300","S","Mais de 12","F",15,54,"negra"
"Menor que R$3300","S","Mais de 12","F",15,29,"branca"
"Maior que R$3300","S","Mais de 12","M",15,30,"negra"
"Maior que R$3300","S","Mais de 12","F",15,28,"negra"
"Menor que R$3300","N","Até 8","M",4,44,"branca"
"Menor que R$3300","N","Até 8","F",8,36,"branca"
"Menor que R$3300","N","9 a 12","M",11,58,"negra"
"Menor que R$3300","N","Até 8","M",4,33,"branca"
"Menor que R$3300","N","Até 8","M",4,45,"branca"
"Menor que R$3300","N","9 a 12","M",11,20,"branca"
"Menor que R$3300","N","Até 8","M",4,40,"branca"
"Menor que R$3300","N","Até 8","F",4,36,"negra"
"Menor que R$3300","N","9 a 12","M",11,18,"branca"
"Menor que R$3300","N","Até 8","M",0,68,"negra"
"Menor que R$3300","N","Até 8","F",0,55,"negra"
"Menor que R$3300","N","9 a 12","M",10,36,"branca"
"Menor que R$3300","N","9 a 12","F",9,24,"branca"
"Menor que R$3300","N","Até 8","M",4,56,"branca"
"Menor que R$3300","N","Até 8","F",4,46,"branca"
"Menor que R$3300","N","9 a 12","M",9,23,"branca"
"Menor que R$3300","N","Até 8","M",5,19,"negra"
"Menor que R$3300","N","Até 8","F",4,46,"branca"
"Menor que R$3300","N","Até 8","M",4,30,"branca"
"Menor que R$3300","N","Até 8","M",4,50,"negra"
"Menor que R$3300","N","Até 8","M",4,48,"negra"
"Menor que R$3300","N","Até 8","F",4,40,"branca"
"Maior que R$3300","N","9 a 12","M",11,38,"branca"
"Menor que R$3300","N","Mais de 12","F",15,32,"branca"
"Menor que R$3300","N","Até 8","F",4,72,"branca"
"Menor que R$3300","N","Até 8","M",8,52,"branca"
"Menor que R$3300","N","Até 8","M",4,47,"negra"
"Menor que R$3300","N","Mais de 12","F",14,40,"branca"
"Menor que R$3300","N","Até 8","M",6,40,"branca"
"Menor que R$3300","N","Até 8","M",8,60,"branca"
"Menor que R$3300","N","Mais de 12","M",15,23,"branca"
"Menor que R$3300","N","Até 8","F",8,50,"negra"
"Menor que R$3300","N","9 a 12","M",10,18,"negra"
"Menor que R$3300","N","Até 8","M",2,48,"negra"
"Menor que R$3300","N","9 a 12","F",10,17,"branca"
"Menor que R$3300","N","Até 8","M",4,45,"branca"
"Menor que R$3300","N","9 a 12","M",11,22,"branca"
"Menor que R$3300","N","9 a 12","M",11,21,"branca"
"Menor que R$3300","N","9 a 12","M",10,42,"branca"
"Menor que R$3300","N","Mais de 12","F",15,35,"branca"
"Menor que R$3300","N","Até 8","M",0,48,"branca"
"Maior que R$3300","N","9 a 12","M",11,43,"negra"
"Menor que R$3300","N","9 a 12","F",11,41,"negra"
"Menor que R$3300","N","9 a 12","M",11,52,"negra"
"Menor que R$3300","N","9 a 12","F",11,53,"branca"
"Menor que R$3300","N","9 a 12","M",11,51,"branca"
"Maior que R$3300","N","Mais de 12","M",15,26,"branca"
"Menor que R$3300","N","Mais de 12","M",13,23,"branca"
"Menor que R$3300","N","Mais de 12","F",15,39,"branca"
"Menor que R$3300","N","9 a 12","F",11,21,"negra"
"Menor que R$3300","N","9 a 12","F",11,23,"negra"
"Menor que R$3300","N","9 a 12","M",11,29,"branca"
"Menor que R$3300","N","9 a 12","F",12,25,"negra"
"Menor que R$3300","N","9 a 12","F",11,50,"branca"
"Menor que R$3300","N","9 a 12","M",11,40,"negra"
"Menor que R$3300","N","Até 8","M",8,71,"negra"
"Maior que R$3300","N","Até 8","M",8,30,"branca"
"Menor que R$3300","N","Até 8","M",8,29,"negra"
"Menor que R$3300","N","Até 8","M",2,30,"negra"
"Menor que R$3300","N","Até 8","M",6,46,"negra"
"Maior que R$3300","N","9 a 12","M",11,58,"branca"
"Menor que R$3300","N","9 a 12","F",11,52,"branca"
"Menor que R$3300","N","Até 8","F",4,54,"negra"
"Menor que R$3300","N","9 a 12","M",11,34,"branca"
"Menor que R$3300","N","9 a 12","F",12,30,"branca"
"Menor que R$3300","N","Até 8","F",2,62,"branca"
"Menor que R$3300","N","Mais de 12","M",15,45,"branca"
"Menor que R$3300","N","Mais de 12","F",15,52,"negra"
"Menor que R$3300","N","Até 8","M",4,33,"negra"
"Menor que R$3300","N","9 a 12","F",11,35,"negra"
"Menor que R$3300","N","Até 8","M",5,36,"branca"
"Menor que R$3300","N","9 a 12","F",11,56,"negra"
"Menor que R$3300","N","Mais de 12","F",13,31,"negra"
"Menor que R$3300","N","Mais de 12","F",15,49,"negra"
"Menor que R$3300","N","9 a 12","F",11,39,"negra"
"Menor que R$3300","N","9 a 12","M",11,30,"branca"
"Menor que R$3300","N","9 a 12","F",12,50,"branca"
"Menor que R$3300","N","9 a 12","M",11,21,"branca"
"Menor que R$3300","N","9 a 12","F",11,49,"branca"
"Menor que R$3300","N","9 a 12","F",11,28,"negra"
"Menor que R$3300","S","Mais de 12","F",15,40,"negra"
"Maior que R$3300","S","Mais de 12","F",15,32,"branca"
"Menor que R$3300","S","Mais de 12","F",15,48,"negra"
"Maior que R$3300","S","Mais de 12","F",13,67,"negra"
"Menor que R$3300","S","9 a 12","M",11,42,"branca"
"Maior que R$3300","S","Mais de 12","M",15,44,"negra"
"Menor que R$3300","S","Mais de 12","F",15,43,"branca"
"Menor que R$3300","S","9 a 12","M",12,22,"branca"
"Maior que R$3300","S","Mais de 12","M",15,59,"negra"
"Menor que R$3300","S","Mais de 12","F",15,35,"branca"
"Menor que R$3300","S","Mais de 12","F",15,28,"branca"
"Menor que R$3300","S","Mais de 12","F",15,24,"branca"
"Menor que R$3300","S","Mais de 12","F",15,30,"branca"
"Menor que R$3300","S","Mais de 12","F",15,25,"branca"
"Maior que R$3300","S","9 a 12","M",11,40,"branca"
"Menor que R$3300","S","Mais de 12","F",15,61,"branca"
"Menor que R$3300","S","Mais de 12","F",15,29,"branca"
"Menor que R$3300","N","Até 8","M",4,55,"branca"
"Menor que R$3300","N","Até 8","M",4,46,"negra"
"Menor que R$3300","N","Até 8","M",4,41,"negra"
"Maior que R$3300","N","Até 8","M",4,60,"branca"
"Menor que R$3300","N","Até 8","M",1,72,"negra"
"Menor que R$3300","N","9 a 12","M",9,25,"negra"
"Menor que R$3300","N","Até 8","M",4,58,"branca"
"Menor que R$3300","N","Até 8","M",4,49,"negra"
"Menor que R$3300","N","9 a 12","M",11,23,"branca"
"Menor que R$3300","N","Até 8","M",3,43,"branca"
"Menor que R$3300","N","Até 8","M",6,57,"negra"
"Menor que R$3300","N","Até 8","M",0,89,"negra"
"Menor que R$3300","N","Até 8","F",4,57,"branca"
"Menor que R$3300","N","Até 8","M",3,67,"branca"
"Menor que R$3300","N","Até 8","M",3,65,"branca"
"Menor que R$3300","N","Até 8","M",4,64,"branca"
"Menor que R$3300","N","Até 8","M",4,62,"branca"
"Menor que R$3300","N","Até 8","M",6,41,"negra"
"Menor que R$3300","N","Mais de 12","F",15,37,"branca"
"Menor que R$3300","N","Até 8","F",8,27,"negra"
"Menor que R$3300","N","9 a 12","M",11,22,"negra"
"Menor que R$3300","N","Mais de 12","F",14,30,"branca"
"Menor que R$3300","N","9 a 12","M",11,38,"branca"
"Menor que R$3300","N","9 a 12","M",10,50,"negra"
"Menor que R$3300","N","9 a 12","M",12,49,"negra"
"Menor que R$3300","N","Mais de 12","F",15,39,"negra"
"Menor que R$3300","N","Até 8","M",8,29,"negra"
"Menor que R$3300","N","Até 8","F",4,28,"branca"
"Menor que R$3300","N","Mais de 12","F",15,34,"branca"
"Menor que R$3300","N","Até 8","M",8,48,"negra"
"Menor que R$3300","N","9 a 12","F",11,23,"negra"
"Menor que R$3300","N","9 a 12","F",11,18,"negra"
"Menor que R$3300","N","Até 8","M",4,46,"branca"
"Menor que R$3300","N","Até 8","F",4,40,"negra"
"Menor que R$3300","N","Até 8","M",7,37,"branca"
"Menor que R$3300","N","Até 8","M",8,36,"branca"
"Menor que R$3300","N","9 a 12","F",12,38,"branca"
"Menor que R$3300","N","Até 8","M",3,35,"branca"
"Menor que R$3300","N","Até 8","M",4,43,"branca"
"Menor que R$3300","N","9 a 12","M",11,20,"branca"
"Menor que R$3300","N","Até 8","M",4,53,"branca"
"Menor que R$3300","N","Até 8","M",7,64,"branca"
"Menor que R$3300","N","Até 8","M",4,33,"branca"
"Menor que R$3300","N","Até 8","F",4,47,"branca"
"Menor que R$3300","N","9 a 12","F",11,41,"branca"
"Menor que R$3300","N","9 a 12","F",11,34,"branca"
